"Subindice","Peso"
"Sistema de derecho confiable y objetivo",20.8796012756271
"Sectores precursores",16.5515301108599
"Sociedad incluyente, preparada y sana",15.8503127821553
"Innovación en los sectores económicos",8.26487800387205
"Sistema político estable y funcional",7.90861384062631
"Aprovechamiento de las relaciones internacionales",7.60226166350375
"Mercados de factores eficientes",7.2397198241748
"Economía estable",5.82838761859733
"Gobiernos eficientes y eficaces",5.347153710782
"Manejo sustentable del medio ambiente",4.5275411698015
