Año,Ciudad,Clave ciudad,Entidad,Indicador,Ejecución de contratos,Robo de vehículos,Competencia en servicios notariales,Tasa de homicidios,Sentenciados a más de 1 año de prisión,Monto reportado en robo de mercancías,Tierra ejidal,Percepción de inseguridad,Sobreexplotación de acuíferos,Consumo de agua,Capacidad de tratamiento de agua en operación,Índice de gestión de calidad del aire,Disposición adecuada de residuos sólidos ,Aprovechamiento del biogás en rellenos sanitarios,"Empresas certificadas como ""limpia""",Desastres naturales,Eficiencia energética,Emergencias ambientales,Espacios culturales,Empresa socialmente responsable,Visitas a museos INAH,Universidades de calidad,Rendimiento académico,Escuelas de calidad,Mortalidad por diabetes,Mortalidad infantil ,Médicos,Camas de hospital,Acceso a instituciones de salud,Crecimiento en acceso a servicios de salud,Crecimiento en población altamente calificada,Viviendas con drenaje (sólo conexión a red pública),Viviendas con piso de tierra,Viviendas deshabitadas,Personas por debajo de la línea de bienestar,Desigualdad en las ciudades,Mujeres en la fuerza laboral,Ingreso promedio de la mujer,Duración de período para ediles y delegados,Participación ciudadana,Competencia electoral,Organizaciones de la sociedad civil,Periodistas muertos o desaparecidos,Índice de información presupuestal,Ingresos propios,Apertura de un negocio,Registro de una propiedad,Muertes por infecciones intestinales,Empleados en el sector formal,Crecimiento en los empleados en el sector formal,Crecimiento de la mancha urbana,Densidad poblacional,Salario promedio mensual para trabajadores de tiempo completo,"Jornadas laborales muy largas 
(+48 horas semanales)",Crecimiento en jornadas laborales muy largas,Productividad laboral ,Población ocupada sin ingresos,Crecimiento de la población ocupada sin ingresos,Demandantes de conflicto laboral,Crédito a las empresas,Tamaño del mercado hipotecario,Cartera hipotecaria vencida,"Sectores que han presentado alto crecimiento
(2008-2012)",Crecimiento del PIB estatal,Crecimiento del ingreso promedio,Diversificación económica,Desempleo,Viviendas con líneas telefónicas móviles,Viviendas con computadora,Uso deTwitter como proxy de uso de tecnologías de información,Muertes por accidentes relacionados con transporte,Sistema de transporte masivo,Red carretera avanzada,Aerolíneas,Flujo de pasajeros aéreos,Líneas de autobús,Uso de servicios financieros,Acceso a servicios financieros,Consumo eficiente de diesel,Inversión extranjera directa (neta),Flujo de pasajeros del o hacia el extranjero,Oferta 4 y 5 estrellas,Ocupacion hotelera,Sitios UNESCO,Ciudad fronteriza o portuaria,Empresas,Grandes empresas según CNN Expansión,Empresas certificadas con ISO-9000 y 14000,Centros de investigación,Posgrados de calidad,Patentes,,Inversión,Grado de escolaridad efectiva,Absorción de la demanda estudiantil,Licenciados ocupados,Migrantes (nal y ext) con educación superior,Investigadores
2008,Aguascalientes,1,Aguascalientes,,88.603988604,81.5650106167,12.4580643775,95.3781557335,88.2750827551,84.2821003356,77.5308517405,57.3689034753,0.0002405966,86.0531585432,47.2510548096,33.3333333333,100,100,13.1864219022,86.6666666667,88.0359299554,83.3333333333,22.0219758184,0,6.4969477973,9.0909090909,91.3248391144,85.6081408496,51.3262857454,61.4475362008,47.5205712698,43.0295251488,73.5292248168,42.0526544694,59.6143747274,100,98.5969838274,64.7305767465,90.2043851471,47.3470767151,58.3807381113,60.0014134885,0,40.2025581538,100,50.1420589072,100,46.2962962963,30.3321869984,80.7124681934,82.8781084386,77.950372057,75.1787875841,58.8466289358,80.5663626114,87.4441256309,25.6100901657,50.3343072945,71.3060503545,15.8536149052,35.5779448572,58.8141799164,60.0533074496,11.8331342208,63.7056837422,57.0338779029,4.5582904189,82.6807469832,34.6835202481,68.2675814751,31.842006596,69.5531348507,59.5211634731,6.4898359151,50.1778521302,0,83.0787309048,30.9523809524,2.8209210827,22.8070175439,42.8646247851,28.5478554266,96.5157235723,37.5575774375,28.7451328223,33.4545952053,30.2186064183,0,0,51.7449172269,5.7895203475,0.0402926287,21.5234079591,3.9408373753,49.9425582048,,22.2303645307,61.9373201829,39.9169349703,48.7907548016,51.1499108298,8.1410796922
2008,Ensenada,55,Baja California,,31.6239316239,45.2711780273,1.2449350182,86.3648213883,0,99.7483569651,0,50.2803553971,88.1677762427,85.2070126792,15.3652054665,33.3333333333,100,0,0.2249643621,100,49.9025270075,12.1481003623,12.1481003623,0,3.7295910898,0,83.8468357088,25.6135316771,76.0683191741,69.4159066186,29.8508131733,24.8936241943,66.5909950478,42.7508364667,75.4112504251,70.4108862512,92.2999155887,48.8778875802,100,84.0148698885,65.6757964922,62.3495816299,0,16.6718150851,86.1441851119,12.6199448575,100,50,47.0505485877,7.0229007634,55.2792498981,88.0491415869,93.8376407094,50.7260258222,81.0925551251,38.9477190235,34.6654151449,88.6727098018,42.8755931589,3.1000758499,91.4010904347,36.8095704356,74.3594963293,24.6929791757,45.8121593099,49.4570734064,9.4704536708,58.6849752932,47.6847442552,42.3670668954,60.2097709052,72.7612547716,52.2156927256,1.6515278203,18.1121197769,66.6666666667,41.9343065693,0,0,8.7719298246,19.5675188136,23.5562668734,98.8998516778,27.1395327763,0,37.3876804215,24.6996450347,0,50,48.4595681737,0,0.0947029766,22.730509145,2.7345015517,4.1005044542,,7.0629673684,50.7108872553,39.2241945562,17.8599771223,33.6651866612,17.8599771223
2008,Mexicali,3,Baja California,,31.6239316239,0,1.3901034454,89.9580955805,9.2339948878,98.2191534193,7.0140859068,50.2803553971,68.8949084785,95.7525154916,30.7308082089,66.6666666667,100,0,21.3801862828,100,80.6443485714,100,10.39340041,5.560295001,0,0,84.7471498204,37.3038760448,57.7427312502,51.9946538437,17.8235823049,18.8235076777,82.5574916226,34.8344441352,52.0654108392,77.736386691,96.2258802607,48.5562792841,95.0543374912,51.6052720514,61.4322430266,61.7618141806,0,18.5747675931,75.5096346065,14.153912547,100,100,52.9719640433,7.0229007634,55.2792498981,91.7606734241,81.6140601119,53.9068522048,75.9184123274,45.7795263274,58.35622014,81.2674850055,66.6855793506,12.7315749382,81.6314927652,40.6375731876,70.332732559,51.6141768116,83.6666893414,57.2952667834,40.2489142479,58.6849752932,27.3696756482,54.0308747856,70.0252903508,75.8751878357,62.4686533906,3.380560278,100,0,26.1986754967,9.5238095238,3.7889886831,12.2807017544,19.569787288,22.60267031,99.0027043863,59.4228077701,0.0208795001,54.094504426,48.8387781188,0,100,47.8289488756,11.2074143997,0.039811174,6.5405678458,0.1469185836,4.1005044542,,24.344644819,64.4694935948,57.7119207106,56.2988993182,46.1382466328,17.8599771223
2008,Tijuana,2,Baja California,,31.6239316239,20.8497531329,1.3606091488,57.4436483748,18.6590847452,98.2516274951,73.1523746606,50.2803553971,100,86.984582974,21.5823150527,66.6666666667,92.6049677016,0,1.3680918136,93.3333333333,77.5315818633,94.4444444444,8.491089603,0,0,9.0909090909,86.9356756904,47.0714886459,70.6809490857,51.9487343392,14.0338581098,12.6129109071,72.7855505745,39.2673025082,68.2755184138,83.4688863994,91.4633697129,43.149933535,97.2764410102,71.0037174721,73.4359310966,61.1559742874,0,4.625660973,77.6532585467,11.5643861402,66.6666666667,61.1111111111,51.3973698533,7.0229007634,55.2792498981,96.9571921921,78.233436427,56.7043371791,83.158268897,58.3744238048,45.1262502915,67.0507469936,80.6823421924,8.860199574,79.2030688039,57.4056364275,42.3444087832,13.4382056811,62.7354551658,25.568974679,9.8884583939,58.6849752932,48.7869996791,66.5523156089,39.5553973314,78.9073442654,62.3800564578,6.324396792,99.1598799231,0,45.7534246575,21.4285714286,14.9749415211,17.5438596491,24.5618252438,18.8055575751,92.2066165479,45.0874389164,0.4130583571,47.7120716206,38.8160730661,0,100,40.2149471315,1.8656076796,0.0924032555,3.8094282038,6.9109269564,4.1005044542,,17.4068895739,68.0212885936,33.2677411152,31.2267972111,56.4354491258,17.8599771223
2008,La Paz,56,Baja California Sur,,0,87.4714365553,13.1472197253,96.8666934921,25.8602440531,100,93.2747062904,85.3256703892,69.868131447,88.9923552246,21.0669070407,100,100,0,3.5653770121,84.4444444444,72.7907220243,77.7777777778,32.1595936753,0,16.5637247194,0,89.8697024874,24.7911794186,42.3651367565,49.3830353601,44.2508826479,54.9454177247,79.8066492502,46.2513676788,70.348465811,72.6100372021,96.7913415921,62.2338709118,94.4951041009,53.1936465022,79.5508846738,54.4121356769,0,21.554247476,92.1037560508,100,100,94.4444444444,80.0980439601,36.844783715,39.543416225,90.6798636833,88.3217128638,62.9512782327,83.236455984,48.2502224335,65.9506715773,87.9183614917,56.4723278199,8.4837776753,67.4267589511,60.6805265747,76.6681791547,6.1431859852,63.3266955752,47.6892024685,48.2464942,79.8728874531,47.3141878535,36.0205831904,62.0333477972,79.0152821142,77.3861238677,18.8389213294,18.2715240669,66.6666666667,41.3813459268,16.6666666667,12.4662718841,3.5087719298,25.6309503015,36.2182749827,98.101984956,84.2650843939,12.4000109005,44.6275610981,66.6280085396,0,50,72.7871831726,0,0.0147131919,69.6421151449,3.0769792046,54.084955008,,22.9628372726,43.782684086,57.0457590177,54.9264803151,59.5591759248,61.0748318817
2008,Los Cabos,57,Baja California Sur,,0,92.2160770293,4.5149629358,91.758391136,80.3993557663,99.7514580086,100,85.3256703892,100,87.0671593635,18.6258545604,100,100,0,0,91.1111111111,75.2774917861,94.4444444444,4.7714530882,0,0,0,80.8091046384,65.2616623254,100,84.6521785128,26.6633054372,13.6040302293,82.0519985145,34.0711150908,64.062532062,79.7834140973,80.2785656469,17.1942339191,96.8591777377,54.8834065563,97.4544633552,59.9439315874,0,5.3303501496,80.2616179226,12.4501748092,100,0,100,36.844783715,39.543416225,81.365588528,89.974498559,53.5708143736,81.2577654801,54.2250924773,100,88.3924112545,59.9447837716,10.9704319763,82.1166516481,53.3221294527,36.03148516,58.9362816222,92.1510421345,0,12.7042184755,79.8728874531,59.9551058395,24.87135506,29.8896747036,92.2415294898,61.5199966662,10.2149429631,19.553034505,66.6666666667,38.8415672913,52.380952381,85.869915932,3.5087719298,34.8648667714,42.1168856412,95.0002233813,100,95.9478990915,100,67.145587189,0,50,66.5781275855,8.6375661376,0.0211075522,0,0,54.084955008,,29.0874179834,61.5208033213,9.8104243578,43.1670278051,90.4155836704,61.0748318817
2008,Campeche,58,Campeche,,43.0199430199,98.7667282774,40.0184732706,94.1199521721,64.6479870292,94.6743927284,39.8069817083,70.0501713252,100,61.6720147737,1.8080470122,0,100,0,1.18101029,93.3333333333,74.9642855055,100,30.7530701197,20.4914983071,45.189345998,9.0909090909,91.2335404726,29.9752562743,22.9137434043,67.3807513308,65.4095587412,73.4613671782,64.3713653483,44.8081083925,62.0379618822,0,94.491284497,81.6186398118,60.9394051897,54.4102737411,78.3535199825,60.7327237367,0,100,96.499581985,56.2626344211,100,83.3333333333,22.1593873026,66.7175572519,100,78.2159723627,75.0836219999,53.910411547,79.9363664737,42.1415597981,21.7575651603,57.7135838248,75.4063926282,3.8589833011,89.021602569,61.2884414044,80.5972836328,19.8616172368,41.1445071829,85.3799931301,29.5430067308,0,68.3720243578,31.0463121784,78.904385903,47.4464056149,51.3780651992,91.9611123451,64.6366472136,66.6666666667,80.787037037,9.5238095238,2.2368559594,5.2631578947,30.4283694538,17.6072059646,95.4117401133,9.1662929079,0.8867961212,55.3747723111,53.9487166061,25,50,45.145671034,0,0.1136081012,22.5786775437,0.2555536169,60.1866692802,,6.1539016155,85.437849622,60.533543352,62.518206233,23.8043347992,14.031761357
2008,Ciudad del Carmen,59,Campeche,,43.0199430199,95.1791617939,14.0437515002,95.0944504976,84.8583466594,99.315570959,66.6782983975,70.0501713252,100,85.4768518082,0.9498838042,0,100,0,100,93.3333333333,99.7807167859,88.8888888889,4.064194244,0,0,9.0909090909,88.3296696583,67.2903441363,66.45091176,74.1550584148,31.3817371062,27.8121972639,65.2603020901,43.166041429,60.1131259329,0,83.5349919489,75.6815194138,68.124684911,19.6012166272,39.4557761095,33.9102228143,0,28.2963206034,87.7927010728,12.3100306725,100,77.7777777778,8.7703377518,66.7175572519,100,96.441907217,74.8034017794,52.3782809044,75.0842816961,57.8297628158,72.9329387762,24.3924905859,78.5681938419,15.3989969951,97.6966803545,30.2018696068,70.6323997923,1.2082057857,100,56.1671328882,0.2803903862,0,50.5073524202,22.2984562607,64.5996346393,48.3982873184,46.4831544869,47.9404687255,80.4020209796,66.6666666667,66.56,14.2857142857,8.5145352492,5.2631578947,34.8995162949,29.048044781,97.5834517448,0,13.7289562273,21.1120874234,56.8204479792,0,50,36.5821925332,31.5306615162,0.1802579001,0,0.3162713352,60.1866692802,,22.9568262643,66.2959190591,52.1320721266,44.0921008729,79.3198320079,14.031761357
2008,Saltillo,5,Coahuila,,55.5555555556,80.6256248968,24.1575149938,98.5433228744,89.7483518438,96.942648279,74.8151396862,43.1986665534,58.831664583,99.6282916887,6.6193278783,0,97.2409361736,0,1.8719881379,95.5555555556,94.4861954585,77.7777777778,10.1435402531,0,0,0,94.9708973519,52.8313891835,44.0282339327,96.6360788811,15.6107744169,17.5146616583,84.5411555309,51.9645305281,63.3991901806,91.1376038836,99.0210755612,71.7429303207,89.2253966571,50.5238256168,68.3038260672,45.6566272821,100,55.4853665927,0,26.1967703768,100,12.962962963,31.525739706,35.1145038168,19.7717081125,86.7541785937,75.5382822849,75.5059143072,88.5429126358,36.3089756705,38.513176719,74.2329263029,67.2350331002,33.5757705791,81.6176795636,57.1145141189,58.2526881234,4.9478993085,73.3180878876,64.8097492401,13.2423347272,73.437477962,51.7564343994,58.6620926244,19.5390587264,54.4658265238,54.0269661642,10.9080771358,69.0908017041,0,26.0961810467,14.2857142857,0,8.7719298246,41.530256542,100,98.0742289997,41.3743874265,0,72.8699243661,61.825973945,0,0,41.9103796532,23.0633388274,0.2646321943,22.7106314427,12.1888625326,33.3431329968,,37.9706247028,67.4647985871,39.7513272147,51.1942312919,25.8386353289,11.3285858107
2008,Monclova-Frontera,6,Coahuila,,55.5555555556,89.1527250835,20.825645102,100,82.5888366517,97.4650307497,87.7635336348,43.1986665534,100,80.5686649393,20.8943809081,0,0,0,8.9698046181,100,92.2418673209,100,3.2121508859,0,0,0,87.9070868768,30.0236034618,27.2947431103,71.7815833353,16.3613678288,7.0067556232,82.1788947407,44.6428030203,79.2361338692,87.8068401585,100,100,84.762753405,54.9847921595,58.7987604014,16.7579946885,100,26.6370217438,37.0711739579,23.4439316531,66.6666666667,14.8148148148,29.138480708,35.1145038168,19.7717081125,88.4651117616,64.1625624516,72.4831034484,87.8689297089,30.0918925437,22.9118178245,75.7568451324,66.7888527813,24.0572938108,92.4000804147,58.1831074757,22.6017548268,4.5586592609,34.4164361032,60.244940322,1.1492181509,73.437477962,16.5492940758,33.4476843911,17.8900860878,57.076114646,47.731548666,22.7193319333,62.7410344657,66.6666666667,41.3333333333,0,0,0,23.7048159565,21.6776350432,90.1454388934,33.6461910383,0,72.538806441,58.5809171862,0,0,51.4858920318,8.0024509804,0.5648952355,20.8804556969,0,33.3431329968,,27.2448434036,44.3325238631,31.4335472225,32.0052605591,15.1194834486,11.3285858107
