Año,Ciudad,Clave ciudad,Entidad,Indicador,Ejecución de contratos,Robo de vehículos,Competencia en servicios notariales,Tasa de homicidios,Monto reportado en robo de mercancías,Tierra ejidal,Percepción de inseguridad,Sobreexplotación de acuíferos,Consumo de agua,Capacidad de tratamiento de agua en operación,Índice de gestión de calidad del aire,Disposición adecuada de residuos sólidos ,Aprovechamiento del biogás en rellenos sanitarios,"Empresas certificadas como ""limpia""",Desastres naturales,Economía intensiva en energía,Emergencias ambientales,Espacios culturales,Empresa socialmente responsable,Visitas a museos INAH,Universidades de calidad,Rendimiento académico,Escuelas de calidad,Mortalidad por diabetes,Mortalidad infantil ,Médicos,Camas de hospital,Acceso a instituciones de salud,Crecimiento en acceso a servicios de salud,Crecimiento en población altamente calificada,Viviendas con drenaje (sólo conexión a red pública),Viviendas con piso de tierra,Viviendas deshabitadas,Personas por debajo de la línea de bienestar,Desigualdad en las ciudades,Mujeres en la fuerza laboral,Ingreso promedio de la mujer,Duración de período para ediles y delegados,Participación ciudadana,Competencia electoral,Organizaciones de la sociedad civil,Periodistas muertos o desaparecidos,Índice de información presupuestal,Ingresos propios,Apertura de un negocio,Registro de una propiedad,Muertes por infecciones intestinales,Empleados en el sector formal,Crecimiento en los empleados en el sector formal,Crecimiento de la mancha urbana,Densidad poblacional,Salario promedio mensual para trabajadores de tiempo completo,"Jornadas laborales muy largas 
(+48 horas semanales)",Crecimiento en jornadas laborales muy largas,Productividad media del trabajo,Población ocupada sin ingresos,Crecimiento de la población ocupada sin ingresos,Demandantes de conflicto laboral,Crédito a las empresas,Tamaño del mercado hipotecario,Cartera hipotecaria vencida,"Sectores que han presentado alto crecimiento
(2008-2012)",Crecimiento del PIB estatal,Crecimiento del salario promedio,Diversificación económica,Desempleo,Viviendas con líneas telefónicas móviles,Viviendas con computadora,Uso deTwitter como proxy de uso de tecnologías de información,Muertes por accidentes relacionados con transporte,Sistema de transporte masivo,Red carretera avanzada,Aerolíneas,Flujo de pasajeros aéreos,Líneas de autobús,Uso de servicios financieros,Acceso a servicios financieros,Consumo de diesel en transporte de bienes,Inversión extranjera directa (neta),Flujo de pasajeros del o hacia el extranjero,Oferta hotelera 4 y 5 estrellas,Ocupacion hotelera,Sitios UNESCO,Ciudad fronteriza o portuaria,Empresas,Grandes empresas según CNN Expansión,Empresas certificadas con ISO-9000 y 14000,Centros de investigación,Posgrados de calidad,Patentes,,Inversión,Grado de escolaridad efectiva,Absorción de la demanda estudiantil,Licenciados ocupados,Migrantes (nal y ext) con educación superior,Investigadores
2008,Aguascalientes,1,Aguascalientes,,89,82,12,95,82,78,57,0,86,47,33,100,100,41,87,88,83,22,0,6,9,91,86,51,61,48,43,74,42,60,100,99,58,90,47,58,60,0,40,100,50,100,46,30,81,83,78,75,59,65,85,62,50,71,45,36,59,60,12,64,57,5,83,35,68,32,46,60,6,50,0,80,31,3,23,43,29,97,38,29,33,30,0,0,52,6,0,22,4,50,,22,62,40,49,51,8
2008,Ensenada,55,Baja California,,32,45,1,86,49,0,50,88,85,15,33,100,0,2,100,50,12,12,0,4,0,84,26,76,69,30,25,67,43,75,70,92,40,100,84,66,62,0,17,86,13,100,50,47,7,55,88,94,51,66,29,37,89,43,9,91,37,74,25,46,49,9,59,48,42,60,45,52,2,18,67,32,0,0,9,20,24,99,27,0,37,25,0,50,48,0,0,23,3,4,,7,51,39,18,34,18
2008,Mexicali,3,Baja California,,32,0,1,90,82,7,50,69,96,31,67,100,0,12,100,81,100,10,6,0,0,85,37,58,52,18,19,83,35,52,78,96,40,95,52,61,62,0,19,76,14,100,100,53,7,55,92,82,54,57,37,63,81,67,36,82,41,70,52,84,57,40,59,27,54,70,47,62,3,100,0,14,10,4,12,20,23,99,59,0,54,49,0,100,48,11,0,7,0,4,,24,64,58,56,46,18
2008,Tijuana,2,Baja California,,32,21,1,57,96,73,50,100,87,22,67,93,0,9,93,78,94,8,0,0,9,87,47,71,52,14,13,73,39,68,83,91,35,97,71,73,61,0,5,78,12,67,61,51,7,55,97,78,57,70,51,51,67,81,25,79,57,42,13,63,26,10,59,49,67,40,50,62,6,99,0,37,21,15,18,25,19,92,45,0,48,39,0,100,40,2,0,4,7,4,,17,68,33,31,56,18
2008,La Paz,56,Baja California Sur,,0,87,13,97,100,93,85,70,89,21,100,100,0,15,84,73,78,32,0,17,0,90,25,42,49,44,55,80,46,70,73,97,56,94,53,80,54,0,22,92,100,100,94,80,37,40,91,88,63,70,40,77,88,56,24,67,61,77,6,63,48,48,80,47,36,62,85,77,19,18,67,31,17,12,4,26,36,98,84,12,45,67,0,50,73,0,0,70,3,54,,23,44,57,55,60,61
2008,Los Cabos,57,Baja California Sur,,0,92,5,92,97,100,85,100,87,19,100,100,0,0,91,75,94,5,0,0,0,81,65,100,85,27,14,82,34,64,80,80,23,97,55,97,60,0,5,80,12,100,0,100,37,40,81,90,54,66,47,79,88,60,31,82,53,36,59,92,0,13,80,60,25,30,100,62,10,20,67,28,52,86,4,35,42,95,100,96,100,67,0,50,67,9,0,0,0,54,,29,62,10,43,90,61
2008,Campeche,58,Campeche,,43,99,40,94,0,40,70,100,62,2,0,100,0,4,93,75,100,31,20,45,9,91,30,23,67,65,73,64,45,62,0,94,76,61,54,78,61,0,100,96,56,100,83,22,67,100,78,75,54,64,32,69,58,75,11,89,61,81,20,41,85,30,0,68,31,79,26,51,92,65,67,78,10,2,5,30,18,95,9,1,55,54,25,50,45,0,0,23,0,60,,6,85,61,63,24,14
2008,Ciudad del Carmen,59,Campeche,,43,95,14,95,99,67,70,100,85,1,0,100,0,97,93,100,89,4,0,0,9,88,67,66,74,31,28,65,43,60,0,84,70,68,20,39,34,0,28,88,12,100,78,9,67,100,96,75,52,55,51,57,24,79,43,98,30,71,1,100,56,0,0,51,22,65,26,46,48,80,67,61,14,9,5,35,29,98,0,14,21,57,0,50,37,32,0,0,0,60,,23,66,52,44,79,14
2008,Saltillo,5,Coahuila,,56,81,24,99,85,75,43,59,100,7,0,97,0,20,96,94,78,10,0,0,0,95,53,44,97,16,18,85,52,63,91,99,66,89,51,68,46,100,55,0,26,100,13,32,35,20,87,76,76,79,26,69,74,67,94,82,57,58,5,73,65,13,81,52,59,20,38,54,11,69,0,13,14,0,9,42,100,98,41,0,73,62,0,0,42,23,0,23,12,33,,38,67,40,51,26,11
2008,Monclova-Frontera,6,Coahuila,,56,89,21,100,85,88,43,100,81,21,0,0,0,14,100,92,100,3,0,0,0,88,30,27,72,16,7,82,45,79,88,100,100,85,55,59,17,100,27,37,23,67,15,29,35,20,88,64,72,78,18,63,76,67,68,92,58,23,5,34,60,1,81,17,33,18,40,48,23,63,67,31,0,0,0,24,22,90,34,0,73,59,0,0,51,8,1,21,0,33,,27,44,31,32,15,11
2008,La Laguna,4,Coahuila,,67,39,14,87,55,31,22,18,85,24,33,95,0,18,93,90,89,4,5,14,0,80,38,25,100,20,14,77,31,60,85,93,46,93,50,65,35,50,49,33,15,100,26,39,26,28,75,72,50,63,50,68,69,75,48,76,67,40,23,52,37,9,77,32,66,35,28,44,14,74,0,46,24,2,23,19,21,96,37,19,55,9,0,0,43,5,0,0,0,33,,26,59,31,52,27,11
2008,Piedras Negras,7,Coahuila,,56,94,25,95,60,79,43,100,90,30,0,90,0,26,98,77,100,5,0,0,0,82,34,12,81,26,17,91,57,35,87,98,50,98,60,78,69,100,28,48,35,100,47,23,35,20,90,85,80,66,10,81,84,23,26,85,53,65,12,10,70,4,81,22,13,20,44,45,15,64,67,57,7,0,0,19,31,70,18,0,69,50,0,100,68,0,1,40,0,33,,11,80,54,75,44,11
2008,Tecomán,9,Colima,,86,63,6,89,68,44,59,93,83,5,0,100,0,44,84,58,94,6,0,0,0,61,11,50,75,57,34,13,62,89,97,54,72,75,63,70,91,0,76,87,10,100,0,25,23,72,98,84,23,79,41,9,62,72,11,78,66,83,14,31,14,5,79,55,13,77,26,12,7,43,67,67,0,0,0,11,32,88,12,0,51,37,0,0,41,0,0,0,0,26,,9,27,18,2,5,22
2008,Colima-Villa de Álvarez,8,Colima,,86,73,8,94,83,48,59,97,84,26,33,87,0,25,84,70,83,40,0,10,9,86,22,40,67,63,35,56,41,56,97,87,48,86,52,88,100,0,92,96,44,100,0,40,23,72,89,83,47,70,36,67,74,67,23,78,57,88,9,53,68,24,79,43,43,66,49,71,12,67,67,50,10,2,11,21,46,97,15,0,51,41,0,0,50,0,0,0,12,26,,17,55,58,57,42,22
2008,Manzanillo,60,Colima,,86,66,5,92,0,9,59,100,99,30,0,0,0,20,96,66,100,3,31,0,0,72,19,57,65,55,40,69,38,76,98,79,29,91,60,94,45,0,79,88,7,100,0,42,23,72,99,93,52,73,18,47,59,64,13,88,50,76,15,46,77,8,79,48,16,50,50,53,8,41,67,71,24,8,18,23,53,76,14,71,69,48,0,50,44,16,0,0,0,26,,11,66,39,27,42,22
2008,Tuxtla Gutiérrez,10,Chiapas,,45,89,10,97,90,52,69,100,88,17,33,87,0,10,80,72,89,22,0,5,0,85,40,45,33,29,43,51,48,72,67,61,77,61,30,76,38,0,1,92,53,100,7,10,44,76,85,66,58,78,32,64,42,74,9,79,67,71,16,33,63,11,73,8,44,48,60,42,37,100,0,43,21,8,5,47,9,100,9,0,17,36,0,0,32,0,0,0,4,20,,3,32,62,71,24,15
