Ciudad,Clave cd,Entidad,Derecho,MA,Sociedad,Político,Gobierno,Mercado laboral,Economía,Precursores,RI,Innovación,GENERAL
Aguascalientes,1,Aguascalientes,76.8503225119,66.8919415004,53.464911934,52.8986786258,71.243935484,42.0915333218,45.5566336956,45.2559682479,30.0147526941,18.6356415391,51.2757595738
Ensenada,55,Baja California,46.8500932894,54.1653086648,48.5383446128,38.4173602055,52.9729500551,44.6464383305,46.4710567228,40.3652016397,16.3143576966,12.3766513676,40.9222127336
Mexicali,3,Baja California,43.4841355088,70.4641619062,49.1708928238,38.506795636,60.5960030633,47.7243194796,50.3665426897,49.3699571759,28.2996735361,15.4372133684,46.3439427404
Tijuana,2,Baja California,53.5585351739,67.8732822886,48.9095501968,35.7386517807,62.4102005659,50.7965704978,39.8465279234,53.1657019066,23.0279545136,10.6769070617,45.7691926498
La Paz,56,Baja California Sur,73.776777157,67.6152381779,56.2528736775,66.6952017871,55.2301838684,52.5207875274,48.3378547725,49.6051870036,35.0091558342,23.4223908654,53.1845316504
Los Cabos,57,Baja California Sur,74.9287677541,71.3733118229,53.1463059584,33.9683895909,69.100401744,55.0654084054,46.9110521995,54.9664925797,74.0757744256,17.2550487574,56.3186306597
Campeche,58,Campeche,77.0426067555,58.2264872437,59.6382139598,59.0832332764,64.5987184078,50.9816953695,45.7313573156,49.1757798386,25.2477126447,12.4727341824,51.1104420602
Ciudad del Carmen,59,Campeche,71.5946603981,69.6008608048,45.041028891,42.670154925,60.638217071,50.7025513637,36.2081775007,51.2277555614,22.4306587417,19.0416472664,47.6963789684
Saltillo,5,Coahuila,71.8588230439,56.4973543928,52.1230321846,64.0739348559,62.9559029523,55.6573127743,44.9330434347,49.9215238935,23.4812630797,30.1128422897,51.4403542503
Monclova-Frontera,6,Coahuila,69.767307741,56.9287964491,49.52576362,66.0185983918,59.1045550967,51.513502383,30.9129358931,46.939284161,20.0409869984,24.9242686658,47.8096012345
La Laguna,4,Coahuila,47.007141429,55.1114896232,46.7597147671,41.9776704025,52.6907341615,51.6131886035,43.9296102003,43.920283373,23.8788352993,17.9061085638,43.0415117269
Piedras Negras,7,Coahuila,69.1329681209,65.2813827553,46.6762224279,60.5256092759,54.9429923868,41.9379760992,27.9607995682,48.3252572042,22.9477036519,24.9739584507,46.6738877516
Tecomán,9,Colima,52.6484930324,54.7044883748,48.6916136875,42.0404042527,53.6783238099,49.8812937705,33.441159812,27.9887603854,14.6545212281,8.8155843838,39.1765353446
Colima-Villa de Álvarez,8,Colima,59.2141300629,63.1910701688,54.1333516091,57.623014852,59.6145679948,50.3769741762,49.2212658389,43.4820969494,15.114962842,13.3112634616,47.161154804
Manzanillo,60,Colima,52.2517950128,58.4022784341,49.9014372712,43.6990145084,67.7793655375,49.9970133493,45.0725671077,45.3087859456,36.9958499141,16.1901692457,47.4871678789
Tuxtla Gutiérrez,10,Chiapas,71.1731088882,62.5905785264,55.0212847592,51.0471757209,49.8133271765,48.0788586863,40.8187007541,41.1862263258,7.5575377551,8.1652915172,44.2256976645
