"Año","País","Personas desaparecidas","Homicidios dolosos","Costos de la delincuencia en los negocios","Encarcelados sin sentencia","Confianza en la policía","Índice de imparcialidad de las cortes","Índice de independencia del poder judicial","Índice de derechos de propiedad","Índice de piratería informática","Índice de protección a acreedores","Tiempo para resolver quiebras","Tiempo medio para ejecutar contratos","Índice de corrupción","Índice de estados frágiles","Índice de Estado de Derecho","Fuentes de energía no contaminantes","Emisiones de CO2","Población expuesta a altos niveles de contaminación","Aprovechamiento de residuos y combustibles renovables","Agua renovable per cápita (potencial)","Estrés hídrico","Áreas naturales protegidas","Cambio en superficie forestal","Uso de fertilizantes en la agricultura","Uso de pesticidas en la agricultura","Empresas certificadas como limpias","Tragedias ecológicas por intervención humana","Vulnerabilidad climática","Índice de GINI","Personas por debajo de la línea de pobreza","Índice global de brecha de género","Mujeres en la PEA","Dependientes de la PEA","Acceso a agua","Acceso a alcantarillado","Analfabetismo","Cobertura en nivel preescolar","Escolaridad promedio","Calidad educativa","Nivel de inglés","Esperanza de vida","Mortalidad infantil","Cobertura de vacunación","Embarazos en adolescentes","Impactos en salud por sobrepeso y obesidad.","Prevalencia de diabetes","Gasto en salud por cuenta propia","Camas de hospital","Índice de estabilidad política","Índice de libertades políticas","Índice de factibilidad de conflicto armado","Índice de interferencia militar en el estado de derecho y/o en el proceso político","Índice de libertades civiles","Índice de libertad de prensa","Participación electoral","Índice de efectividad del gobierno","Efectividad de implementación de políticas públicas","Miembro de Open Government","Índice de calidad de gobierno electrónico","Facilidad para abrir una empresa","Tiempo de altos ejecutivos a temas burocráticos","Tiempo para calcular y pagar impuestos","Presupuesto balanceado","Deuda total del gobierno central","Ingresos fiscales","Impuesto sobre el ingreso","Carga impositiva","Edad de retiro","Índice de fleixibilidad de las leyes laborales","Índice de economía informal","Productividad media del trabajo","Crecimiento de la productividad total de los factores","Productividad del capital fijo","Productividad laboral en el sector manufacturero","Productividad agropecuaria","Eficiencia energética","Cambio en inventarios","Índice de transparencia y regulación de la propiedad privada","Crecimiento del PIB","Crecimiento promedio del PIB","Variabilidad del crecimiento del PIB","Inflación","Inflación promedio","Variabilidad de la inflación","Tasa de desempleo","Deuda externa","Calificación de deuda","Activos del sector financiero","Activos de los depositantes","Reservas","Control de precios","Índice de libertad para competir","Seguridad energética","Pérdidas de electricidad","Líneas móviles","Usuarios de internet","Servidores seguros de internet","Gasto en IT","Transporte intraurbano de alta capacidad","Carreteras pavimentadas","Tránsito aéreo de pasajeros","Índice de desempeño logístico (transporte)","Índice de infraestructura portuaria","Tráfico portuario de contenedores","Penetración del sistema financiero privado","Spread de tasas","Capitalización mercado de valores","Capitalización mercado de valores (micro)","Cambio en empresas listadas","Rotación de activos bursátiles","Índice de competencia de Boone","Organizaciones internacionales a las que pertenece","Acuerdos comerciales","Socios comerciales efectivos","Apertura comercial","Diversificación de las exportaciones","Diversificación de las importaciones","Barreras ocultas a la importación","Aranceles agrícolas","Arancele manufactureros","IED","IED promedio","Variabilidad de la IED","Ingresos por turismo","Llegadas de turistas","Gasto militar","Gasto en investigación y desarrollo","Coeficiente de invención","Artículos científicos y técnicos","Exportaciones de alta tecnología","Índice de complejidad económica","Empresas nacionales en el Fortune 500","Empresas con ISO 9000","Población en ciudades grandes","PIB servicios","Valor agregado de la agricultura","Talento","Inversión","Ancla Compuesta"
2001,"Alemania",100,99.43070291,88.43861163,76.83960718,100,95.89041096,92.77108434,100,88.12286727,72.99361176,93.31235877,86.484375,71.91011236,60.88761237,88.57513808,26.83293763,92.39047998,26.99203699,3.134493511,1.284761257,64.65375977,100,96.19473678,80.87824164,94.93017258,18.45122858,96.15384615,86.44919572,81.84761555,100,73.6732373,52.73159304,80.63727752,100,100,98.72374842,74.54233316,83.95062704,72.6494165,33.12649216,91.05914523,99.38236946,92.08633094,92.11631253,48.4563945,99.92277957,94.61076606,68.57379941,90.72954104,100,100,100,80,90.27777778,83.37374802,92.70149832,66.66666667,0,73.90929466,71.33333333,83.33333333,95.15777964,13.02862855,79.10655794,33.25862367,22.15468091,60.07439087,86.20689655,0,65.00711238,59.23006143,64.81522935,47.93545707,43.23151977,83.30445988,48.87804063,64.66343595,95.06073711,52.81406804,14.08977582,97.2399892,94.9509911,98.38908362,99.87718346,73.02904428,68.58753915,100,50.40617727,71.70312402,8.272400084,100,75,77.23667207,92.57743589,75.71658927,49.38349138,22.83542932,55.89357439,47.47340426,53.62356176,16.08643363,84.34902776,100,18.67719436,43.68964389,87.96575478,20.14340933,53.62356176,53.62356176,33.41248841,32.53643945,63.26530612,97.2972973,94.87179487,23.75536356,97.71996345,97.23944479,78.81555496,89.97928643,91.20141343,10.75975329,22.53412686,67.69351865,13.64566406,9.498772688,76.22786585,55.29915304,22.78914907,42.49785232,31.08437502,94.05407662,11.70731707,37.62476224,32.04548168,84.71600388,84.71600388,51.28444037,59.65098524,55.46771281
2001,"Argentina",100,88.97206601,9.259689427,18.53023949,26.6666841,0,0,33.33333333,16.75714335,31.61091138,79.93707632,71.875,28.08988764,72.19704679,30.24479921,16.7620345,77.00588008,95.97156392,6.466621299,8.409999751,51.02127764,11.53895245,75.24092368,97.80685003,93.18410827,2.448452648,100,32.85172408,35.66988228,86.63864147,37.30289538,38.2422843,52.71323987,92.55079007,89.4165536,94.55910759,43.45803983,60.41455003,26.46429839,25.93573959,78.38947382,91.24087591,81.29496403,53.3520324,59.59176981,99.96672592,64.78000956,25.4462674,56.27794594,100,100,50.74626866,80,59.72222222,79.29362151,32.78828868,33.33333333,0,48.4300612,57.33333333,58.33333333,83.59901606,8.362670312,37.23283077,18.98219413,67.72986373,0.669044334,68.96551724,62.22222222,13.79800853,9.396571189,39.28580168,12.6469665,11.52107534,28.2511275,39.05772954,78.13239645,66.35760879,9.205740984,22.47767793,36.54451731,26.59782091,26.59782091,26.59782091,29.4605829,58.56331772,0,28.82836736,7.176277629,50.31954817,0,50,68.23201269,68.58420979,19.92090331,15.16334057,2.32623088,4.796837053,5.902777778,20.46026155,4.177044789,37.29281856,50,1.286206543,4.150484241,74.52473817,22.08431146,25.35330353,25.35330353,0.185545516,31.91843713,57.14285714,5.405405405,46.15384615,0,81.54863517,72.15727069,28.68446932,88.07704927,65.19434629,2.680207924,8.756197255,91.61000604,8.766487521,3.006745335,70.74808501,8.960405556,5.506064966,7.490283432,15.41344573,43.99757372,0,5.419174558,64.73492286,92.04615533,92.04615533,60.70188989,7.318220827,34.01005536
2001,"Australia",100,98.39956969,64.16482836,87.19681511,75.69524239,97.26027397,100,100,77.98582553,68.73540615,94.98426908,97.5,84.26966292,93.02143272,92.1204889,2.419342485,82.91253506,97.87841979,5.946463567,27.58134532,28.99147173,20.38691769,63.8642389,96.19310936,99.21436607,30.94184443,100,93.25205994,77.10854978,97.81359588,54.46339824,66.50831442,75.95940597,100,100,98.72374842,77.16179926,83.30288132,90.40234475,100,94.83746854,98.87703537,89.92805755,88.46487801,71.78273496,0,80.87942292,57.29259843,88.99377223,100,100,100,100,97.22222222,100,88.09465433,66.66666667,0,84.62886732,100,83.33333333,98.22569016,1.847022451,87.72778387,85.46237718,48.64376843,65.66185331,17.24137931,68.88888889,57.14285714,52.07681045,67.70309833,48.48929965,64.15789679,14.11267807,33.37500629,73.90575734,100,54.47952133,40.03083349,93.40980656,90.60890831,97.48302202,99.85820686,77.17842193,77.85065971,100,33.95341613,37.55722783,17.45448053,75,100,83.0150911,85.86253397,63.66720049,82.30211843,64.29575937,58.77108712,28.97727273,33.451186,39.71019995,71.21293519,75,8.255932496,26.45566078,92.32392426,40.90648249,52.7703573,52.7703573,17.51887552,25.3698143,36.73469388,24.32432432,96.15384615,14.06985169,86.60649836,86.23339339,80.2581093,100,68.02120141,13.89722784,7.687742181,93.02233766,40.14761228,10.97122013,60.02852552,37.42486354,35.52027814,59.66675329,26.25099796,38.66721155,3.414634146,100,78.67867483,87.34616225,87.34616225,66.45814193,55.87064136,61.16439165
2001,"Austria",100,99.7253124,77.39514348,79.05883503,86.53806169,89.04109589,87.95180723,100,90.98684368,62.28578066,94.14831393,86.953125,76.40449438,87.0476056,95.95197602,23.06233012,95.50217582,19.37224869,13.91588299,7.326441165,99.36753285,56.10756564,93.11286777,78.10736365,96.05636583,12.67874556,100,86.93012015,85.9574319,99.44935007,41.39754675,53.20665426,79.18359569,100,100,96.41862644,59.05125685,61.18627841,75.87185191,34.28051313,91.63119045,99.27007299,74.82014388,91.25128692,60.55525113,99.93751974,86.16887967,65.35060243,76.40594028,100,100,100,100,77.77777778,88.8455456,94.07448292,66.66666667,0,60.35435224,84.66666667,75,95.70216789,11.13463845,53.63159907,71.25417427,15.10819575,54.94663565,68.96551724,31.11111111,100,64.10707564,53.34122908,45.34446837,47.22356908,68.75080535,62.76419823,68.80003487,88.58421572,50.34946487,26.50309584,98.5640882,93.71994028,98.19247856,99.91734881,90.4564316,50.28181363,100,31.90866196,59.18021056,13.10842342,75,75,63.37299819,91.62213141,90.40102507,61.17272489,30.34026177,60.91454332,26.5625,100,19.50772335,100,75,0.49718058,36.81366912,49.90242729,0.095368917,49.90242729,49.90242729,6.976385317,35.16232468,69.3877551,97.2972973,89.74358974,37.55496598,70.23340373,47.58420453,85.66077735,89.97928643,91.20141343,24.66054486,13.29333809,87.81652707,70.60534704,100,88.26961442,45.73199605,8.133114312,46.49691589,24.66549177,83.06578634,0,37.67899627,18.46050841,80.42198556,80.42198556,30.5204325,76.02512481,53.27277865
2001,"Bélgica",100,97.07382699,48.51467565,76.9175073,59.08843725,71.23287671,62.65060241,100,94.43575553,35.4179072,95.82022423,78.515625,62.92134831,92.57787967,78.59594318,40.66302,91.66870629,27.23125685,2.479455255,1.148707415,36.64745399,26.54662292,97.00489182,71.29698867,80.60608428,6.644672445,100,66.40474269,76.90754382,76.90754382,41.15302951,35.1543999,68.58095994,100,100,98.72374842,83.80179397,75.47952047,86.15787873,34.61794046,90.0280514,99.15777653,84.89208633,93.45238095,61.37034582,99.96448902,80.14938743,51.65199986,83.25888983,100,100,100,80,98.61111111,96.60516605,88.4099456,66.66666667,0,59.76388295,64,33.33333333,96.41160198,13.67197467,17.60034729,91.23180397,12.09540099,44.08105892,75.86206897,46.66666667,58.72235872,70.79518903,48.14920481,44.04316639,57.66142818,100,34.36693937,72.10144209,90.46092603,47.30556893,25.26812464,91.4332002,94.06230206,97.84854123,99.97494751,79.66805011,19.84884132,81.25,60.37136696,57.32503621,2.238815088,75,75,33.95159202,94.69605606,83.14986289,48.81621967,12.12457078,88.93753727,53.125,75.185188,22.79859031,70.78215328,100,11.24642529,35.19442371,91.64777604,27.13094466,52.49470141,52.49470141,6.130449103,37.49313493,61.2244898,97.2972973,93.58974359,65.23973436,88.47579682,86.93412699,84.94335667,89.97928643,91.20141343,65.89086606,31.56925822,61.11219324,41.57058454,27.66998403,84.6643459,46.12383504,2.803191571,54.49930179,18.26773115,75.77208218,1.463414634,39.62702283,36.19814205,90.18928003,90.18928003,76.84015095,74.20661344,75.5233822
2001,"Brasil",100,69.87755396,5.258453024,36.36755317,11.16712995,43.83561644,51.80722892,33.33333333,30.94995188,13.96586202,2.935204552,68.28125,33.70786517,40.12378733,26.89942418,27.38354986,87.15805285,89.59030722,31.45301232,34.63101766,86.29593725,43.09953241,62.90194326,90.21072666,97.95715306,0.883384449,100,26.72234591,22.74188132,83.48050218,24.76127653,64.13301732,67.35389787,86.00451467,66.35006784,71.96189122,46.99113374,30.31533242,14.37573825,26.86572253,68.59090435,85.1207187,99.28057554,34.58382174,70.29117734,99.89987548,54.1813847,17.26104116,59.77523269,66.66666667,100,50.74626866,60,66.66666667,72.4512388,32.67209276,33.33333333,0,40.31154456,0,79.16666667,0,5.896939946,32.46876551,48.38452095,67.67790233,49.71342006,68.96551724,42.22222222,69.30501931,6.638945339,54.67972102,47.60605173,4.453147005,27.43217124,65.98343813,52.6877788,65.52693791,50.09561651,15.37117733,82.40459507,86.15812716,89.88447656,0,66.8049778,88.94067552,50,18.51279123,23.8583516,45.19025492,75,75,41.41544843,60.22438308,17.86600167,6.945058127,2.116014612,7.624154344,50.71022727,0,4.549478165,21.11540062,25,5.00512295,19.28912094,0,10.07684475,19.09671707,19.09671707,8.355772651,44.35116253,36.73469388,8.108108108,91.02564103,4.121807347,79.67340489,71.3316724,39.35599629,88.75641968,56.67844523,4.679355101,3.750218263,96.92210753,2.411269606,1.088340926,55.74650207,22.94021672,3.054203636,3.273587774,32.69455916,54.55730611,1.951219512,4.066196806,54.9535305,81.32151217,81.32151217,1.244045247,6.219319198,3.731682222
2001,"Canadá",100,98.39956969,57.64027514,76.13482702,71.54450382,90.4109589,93.97590361,100,68.9146907,46.97292369,96.65617939,73.4375,88.76404494,91.73189581,91.49945275,38.43812348,84.34622404,65.07018367,5.397591542,100,79.86779304,13.79020776,79.5999602,95.46329828,98.85656595,10.72549942,98.07692308,91.11503389,77.45291173,99.44935007,53.64747496,77.43468655,83.69282896,99.54853273,99.72862958,98.72374842,46.76349246,89.30214509,93.49383902,100,94.41373135,98.82088714,92.08633094,89.41425098,63.72821122,99.99461231,87.2458733,25.86639899,84.73828064,100,100,100,100,88.88888889,64.21718503,94.17135957,66.66666667,0,80.37699968,99.33333333,75,98.01266324,11.62135576,59.85121653,46.78977547,39.7566084,61.29822357,51.72413793,82.22222222,52.84495021,53.64991752,52.73795002,49.38757212,61.77655161,17.36989047,20.57214069,90.49709856,97.72878337,52.76488352,37.79034934,90.80244199,93.97050489,97.75720588,99.964376,75.51867246,80.70440268,100,52.15565392,51.51598074,6.974802208,75,75,81.25181577,87.46415985,37.9447884,94.05414781,59.32079199,40.18904077,35.41666667,32.17657259,28.45299806,79.88038335,100,6.274461735,65.1308019,95.60930519,39.26985325,54.99890078,54.99890078,16.26065856,36.28486733,77.55102041,24.32432432,87.17948718,32.78485724,0.723719547,0,70.8407877,83.55923603,96.81978799,27.21158751,22.19270646,76.89525749,19.70217969,27.93162052,68.40376989,46.56428648,36.85695758,53.68058276,28.19252498,60.80330721,7.804878049,25.81579122,59.91348248,75.35345543,75.35345543,98.40277254,51.00468117,74.70372686
2001,"Chile",100,96.29974052,42.38001233,38.99439936,56.25742619,54.79452055,53.01204819,100,24.81599737,20.18468581,50.98635499,80.46875,73.03370787,84.3204874,77.85702908,14.03508217,84.31647102,73.37360735,23.78061322,61.47698097,35.7461308,39.86752371,75.33508339,73.7833769,82.82266079,0.584688594,0,50.35340907,30.44498794,96.63345228,26.29482075,16.38954913,67.89792466,89.16478555,89.55223881,89.49856441,54.26911022,61.31137597,30.84945603,19.56883497,87.58965573,96.51880966,96.4028777,53.24396234,74.8020558,99.99264817,53.50181112,17.50571561,66.6447193,83.33333333,100,50.74626866,80,80.55555556,91.83974697,67.21964743,66.66666667,0,62.59330485,83.33333333,79.16666667,89.50357759,8.261893459,99.36211363,51.76753215,42.63697173,98.31340687,68.96551724,31.11111111,72.72727273,13.46958533,58.19956786,62.62094195,27.54952124,53.00450999,46.83934602,56.45942812,74.09180829,64.62019304,39.55718941,60.57866966,97.56520703,100,98.95305612,67.63485255,86.3033943,81.25,24.99865589,18.0328584,63.82593504,100,100,39.2633903,87.92104737,36.11058915,29.74506226,3.285747456,3.677408323,10.11904762,9.76432,9.936861634,48.79710624,75,2.219825968,22.79070594,89.94360765,30.89092236,31.4584414,31.4584414,1.555094603,33.77276697,30.6122449,56.75675676,42.30769231,23.40462154,87.53312494,83.33863263,92.75091532,76.25600411,72.29681979,11.35279908,9.602768085,92.40709709,18.5420465,4.772778427,34.06300247,3.248119965,6.708840545,7.546329077,4.868243678,38.84090579,0,1.344593596,56.64925826,71.54692929,71.54692929,54.08371471,11.7399076,32.91181115
2001,"China",100,97.83831583,25.28533981,44.26657538,43.24517551,58.90410959,55.42168675,0,0,6.179800847,81.84836349,86.25,28.08988764,15.66569657,21.00367927,4.776089876,13.60898205,27.85539422,21.34461559,2.281603215,41.49627885,39.19677222,94.60058888,68.46493565,78.85409079,0.300537456,92.30769231,32.71814411,57.42627365,46.31231146,27.02703616,58.85100423,83.00774094,58.01354402,27.6797829,72.45634344,26.21181992,35.94155574,97.85258605,27.78939628,74.5271093,83.04323414,80.57553957,96.26576862,91.32315287,99.91467923,16.44324784,16.35795827,47.55535381,0,50,0,0,0,0,28.12405719,33.33333333,0,24.36415097,69.33333333,58.33333333,49.43745298,18.54432852,33.66665339,22.20701161,30.49560598,36.16058006,51.72413793,37.77777778,16.51321651,0.506847494,89.04291676,67.80652201,3.249208989,51.06593171,16.62968866,31.23660182,65.56686667,100,88.9922839,76.92484763,97.23518137,97.62438044,99.01070516,86.72199132,76.67629476,81.25,33.14383237,54.77493001,81.11367966,50,50,45.46340496,88.99735753,12.4534864,3.989586778,0.049876283,0.336209134,0.656877898,31.86840627,1.005899731,44.70727089,50,100,37.61040645,95.49926271,12.85839496,34.00636033,34.00636033,22.24241721,30.36926847,30.6122449,24.32432432,85.8974359,13.51166859,85.69255735,66.06178233,54.67292489,37.90554436,54.77031802,1.439852959,0.739829492,99.7974912,16.04062917,1.048787135,27.06616345,20.85530771,1.160539221,1.090470158,35.65651677,52.56107545,1.463414634,2.87279989,26.85346859,29.39041706,29.39041706,0,2.587739872,1.293869936
2001,"Colombia",0,0,19.74870992,45.9062526,54.15901397,35.61643836,34.93975904,33.33333333,38.1287144,35.4179072,75.2481954,0,31.46067416,0.300726642,4.847676532,20.61082542,86.43404429,79.20338483,15.85115007,60.80420915,99.25018085,47.18030098,83.18720311,75.55013956,31.23014802,0.473136708,100,24.45919053,26.10877306,71.07468323,52.77160836,53.42789676,54.81933942,77.42663657,66.21438263,83.60848574,26.28941491,24.76724293,12.38869699,13.30245719,70.58374036,88.65805727,82.01438849,28.2487689,84.57775187,99.95838173,91.42786303,4.325253853,11.52199507,50,25,0,40,27.77777778,44.75487612,21.76541543,33.33333333,0,26.17170092,61.33333333,75,75.54441494,8.886540933,66.76947792,34.24326535,78.31176257,36.22640458,48.27586207,20,21.35135135,4.661112861,56.46223405,59.60640736,13.90673019,33.14052545,90.97798271,61.98432206,61.46935283,52.687816,6.799715622,71.45864044,84.11000328,79.00979445,99.28891239,42.73858665,89.2135067,50,2.189747384,4.80094917,54.24151021,75,75,100,54.25132524,8.736028624,4.325292341,0.635647062,0.835219891,8.173076923,21.7847005,6.029657765,12.28256966,25,1.091813578,6.948285189,83.12608667,0.572482745,21.7847005,21.7847005,0.405107154,36.14261509,30.6122449,21.62162162,74.35897436,8.558739828,55.67574972,62.90701984,27.549196,59.06793269,64.09893993,2.709758618,1.491398258,98.16471527,16.97490873,0.566540402,35.87115401,1.834498157,0.248438182,0.627334126,11.85246636,47.58200905,0,2.23747961,56.37951837,70.71540546,70.71540546,31.58028632,3.7308777,17.65558201
